117,11,1
150,11,2
210,11,3
0,11,4
177,11,5
0,11,6
103,11,7
19,11,8
172,11,9
208,11,10
247,11,11
165,11,12
0,11,13
79,11,14
136,11,15
173,11,16
0,11,17
0,11,18
222,11,19
52,11,20
170,11,21
0,11,22
178,11,23
126,11,24
202,11,25
0,11,26
134,11,27
20,11,28
81,11,29
89,11,30
215,11,31
215,11,32
213,11,33
0,11,34
204,11,35
125,11,36
213,11,37
229,11,38
149,11,39
0,11,40
173,11,41
206,11,42
189,11,43
236,11,44
64,11,45
11,11,46
161,11,47
57,11,48
177,11,49
100,11,50
190,11,51
0,11,52
231,11,53
193,11,54
101,11,55
78,11,56
39,11,57
99,11,58
47,11,59
0,11,60
106,12,1
225,12,2
0,12,3
62,12,4
0,12,5
123,12,6
166,12,7
77,12,8
0,12,9
137,12,10
13,12,11
250,12,12
49,12,13
141,12,14
239,12,15
188,12,16
37,12,17
176,12,18
219,12,19
240,12,20
58,12,21
122,12,22
84,12,23
0,12,24
0,12,25
159,12,26
1,12,27
0,12,28
241,12,29
206,12,30
183,12,31
168,12,32
0,12,33
87,12,34
248,12,35
0,12,36
43,12,37
0,12,38
119,12,39
0,12,40
236,12,41
236,12,42
120,12,43
40,12,44
16,12,45
73,12,46
46,12,47
102,12,48
117,12,49
0,12,50
240,12,51
18,12,52
79,12,53
0,12,54
50,12,55
0,12,56
223,12,57
67,12,58
0,12,59
166,12,60
0,13,1
224,13,2
0,13,3
0,13,4
205,13,5
42,13,6
27,13,7
0,13,8
75,13,9
0,13,10
0,13,11
0,13,12
82,13,13
0,13,14
132,13,15
111,13,16
95,13,17
235,13,18
119,13,19
5,13,20
0,13,21
159,13,22
95,13,23
103,13,24
233,13,25
0,13,26
5,13,27
130,13,28
160,13,29
60,13,30
78,13,31
67,13,32
53,13,33
218,13,34
223,13,35
0,13,36
98,13,37
0,13,38
0,13,39
0,13,40
138,13,41
0,13,42
143,13,43
111,13,44
0,13,45
203,13,46
35,13,47
247,13,48
76,13,49
223,13,50
40,13,51
173,13,52
201,13,53
210,13,54
0,13,55
46,13,56
0,13,57
134,13,58
175,13,59
175,13,60
0,14,1
37,14,2
33,14,3
0,14,4
201,14,5
38,14,6
193,14,7
54,14,8
0,14,9
212,14,10
17,14,11
241,14,12
0,14,13
0,14,14
127,14,15
171,14,16
0,14,17
206,14,18
137,14,19
0,14,20
134,14,21
108,14,22
203,14,23
222,14,24
117,14,25
224,14,26
54,14,27
224,14,28
36,14,29
200,14,30
47,14,31
